,original,paraphrase,our_paraphrase
5058,"»Blagorodni gospod Polo, Veliki kan spet pričakuje od našega kraljestva nove vojaške pohode.","""G. Polo, Veliki Khan spet pričakuje nove vojaške pohode iz našega kraljestva.","""Blagorodni gospod Polo, Veliki kan spet pričakuje nove vojaške pohode."
5059,Ampak naša dežela je na kolenih.,Toda naša dežela je na kolenih.,Ampak naša dežela je na kolenih.
5060,"Nameravam mu poslati daril, da bi ga tako zaprosil za odvezo.","nameravam mu poslati darila, da ga zaprosim za odvezo.","Nameram mu poslati darila, da bi ga prosil za odvezo."
5061,"Če ste me voljni osrečiti in sprejeti, bi vam rad zaupal neko pismo.","Če ste me pripravljeni sprejeti, bi z vami rad delil pismo.","Če ste me voljni osrečiti in sprejeti, bi vam rad zaupal pismo."
5062,"Če mu ga boste izročili vi, ne dvomim, da ga bo cesar pozorno prebral.","Če mu ga daste, ne dvomim, da ga bo cesar skrbno prebral.","Če ga boste izročili vi, ne dvomim, da ga bo cesar pozorno prebral."
5063,"Bi mi naklonili čast, da bi vam ga smel prebrati?«","Bi mi izkazali čast, če bi vam ga prebral?""","Bi mi dali čast, da bi ga prebrali?"""
5064,Knez je razvil tulec iz riževega papirja in se odkašljal.,Princ si je razvil tulec iz riževega papirja in si očistil grlo.,Knez je razvil tulec iz riževega papirja in se odkašljal.
5065,"»Ljubi soprog, bi mi blagovolili nakloniti družbo blagorodnega gospoda Pola?","""moj dragi mož, ali bi počastil in dal prednost družbi dobrosrčnega Pola?","""Ljubi soprog, bi mi dal družbo blagorodnega gospoda Pola?"
5066,Nekaj se moram pomeniti z njim.«,"Moram se pogovoriti z njim. ""","Nekaj se moram pogovarjati z njim. """
5067,"»Vi, blagorodni gospod Polo, bi morali pokazati prizadevanje, da bi prisluhnili mojim besedam!« je besno vzkliknila kneginja.","""Vi, dragi gospod Polo, bi se morali potruditi in prisluhniti mojim besedam,"" je besno vzkliknila princesa.","""Vi, blagorodni gospod Polo, bi morali pokazati, da bi prisluhnili mojim besedam"
5068,"»Posvetovala se bova z vedeži, da ugotoviva, kateri dan je najugodnejši za vaš odhod.","""Z vedeževalci se bomo posvetovali in določili najprimernejši dan za vaš odhod.","""Posvetovala bova z vedeži, da ugotovite, kateri dan je najugodnejši z"
5069,"Vedeti morate, da moj oče vsekakor pričakuje, da boste svoje poslanstvo opravili ne glede na vse čeri, vetrove in viharje,« je pristavila z drobnim nasmeškom.","Vedeti morate, da moj oče vsekakor pričakuje, da boste izpolnili svojo nalogo ne glede na vse čeri, vetrove in nevihte, ""je dodala s drobnim nasmehom.","Vedeti morate, da moj oče vsekakor pričakuje, da boste svoje poslanstvo opravili ne glede na vse"
5070,"Marco je moral ugotoviti, da učinkovitost mongolskih slov vsekakor še presega njihov legendarni sloves.","Marco je moral ugotoviti, da je učinkovitost mongolskih glasnikov vsekakor presegla njihov legendarni sloves.","Marco je moral ugotoviti, da učinkovitost mongolskih slov zagotovo presega njihov slavni sloves."
5071,"Kneginja je hlinila, da želi slišati novice z dvora, ki pa jih je sama že zdavnaj poznala, in še kako dobro.","princesa se je pretvarjala, da želi slišati novice iz dvora, ki jih je poznala že dolgo časa in kako dobro.","Kneginja je hlinila, da želi slišati novice z dvora, ki jih je že"
5072,"Dao Zhiyu je vstal, zmignil z rameni in se odpravil proč.","Dao Zhiyu je vstal, skomignil z rameni in odšel.","Dao Zhiyu je vstal, se zmignil z rameni in se odpravil"
5073,"Da bi se zamotil, si je torej naslednje dni dal opraviti s skrbnim pripravljanjem jedi, ki so jih Mongoli nato pogoltnili brez posebnih ozrov, kakor bi pojedli tudi karkoli drugega.","Da bi se zamotil, se je moral naslednjih nekaj dni ukvarjati s skrbno pripravo jedi, ki so jih nato Mongoli pogoltnili brez posebnih pogledov, kakor bi jedli vse drugo.","Da bi se zamotil, je naslednje dni dal opraviti s skrbnim pripravljanjem jedi, ki"
5074,"Teh pet okusov je mogoče združiti na šest različnih načinov, s katerimi dobimo osmere vrste jedi naše kuhinje.","Teh pet okusov se lahko združi na šest različnih načinov, da se v naši kuhinji pripravi osem vrst jedi.","Teh pet okusov je mogoče združiti na šest različnih načinov, s katerimi dobimo osmere vrste"
5075,Prizadevamo si za skladje med jedjo in jedcem.«,"Prizadevamo si za harmonijo med jedjo in jedjo. ""","Prizadevamo si za skladnost med jedjo in jedcem. """
5076,"Naslednjega dne je končno nastopilo brezvetrje, ki naj bi se po napovedi vedežev ustalilo.","Naslednji dan je končno nastopilo zatišje, ki so ga napovedovali vedeževalci, da se bo stabiliziralo.","Naslednjega dne je končno nastopilo brezvetrje, ki naj bi se po napovedi vedežev ust"
5077,"Poveljnik ladje je torej ukazal, naj dvignejo sidro.","Zato jim je poveljnik ladje ukazal, naj dvignejo sidro.","Poveljnik ladje je ukazal, naj dvignejo sidro."
5078,Menih se je vljudnostno nasmehnil.,Menih se je vljudno nasmehnil.,Menih se je vljudno nasmehnil.
5079,Za hrbtom so se mu malčki spakovali in delali najbolj nemogoče obraze.,Za njegovim hrbtom so si mali naredili najbolj nemogoče obraze.,Za hrbtom so mu otroci spakovali in delali najbolj nemogoče obraze.
5080,Korejec je pokimal in v japonščini ogovoril konjenike.,Korejka je prikimala in konjenikom govorila v japonščini.,Korejec je pokimal in v japonščini ogovoril konjenike.
5081,Samuraji niso odmaknili pogleda od Marca.,Samuraj ni pogledal stran od Marca.,Samuraji niso odmaknili pogleda od Marca.
5082,"In Benečan je, čeprav ni razumel niti besede od tistega, kar je govoril tolmač, pozorno čakal na njihove besede in jih gledal, kakor da bi jim hotel v duhu prenesti svoje misli.","In Benečan je, čeprav ni razumel niti besede tega, kar je tolmač govoril, pozorno opazoval njihove besede in jih gledal, kakor da bi jim hotel posredovati svoje misli v duhu.","In Benečan je, čeprav ni razumel niti besede od tistega, kar je govoril tolmač,"
5083,"Nenadoma je s kotičkom očesa opazil ali pa se mu je samo zdelo da eden izmed samurajev prav počasi, s palcem, vleče sabljo iz toka in se pripravlja na zamah.","Nenadoma je videl ali čutil, da eden od samurajev s palcem počasi vleče meč iz potoka in se pripravlja, da bo zamahnil.","Nenadoma je opazil, da je opazil, da eden od samurajev počasi, "
5084,Marco je skrivaj ošinil s pogledom Ai Xueja.,Marco je skrivaj pogledal Ai Xueja.,Marco je skrivaj ošinil pogled Ai Xueja.
5085,Kitajec je z negibnim izrazom pozorno sledil Kim Yijevim besedam.,Kitajci so s svojim negibnim izrazom pazljivo sledili Kimovim besedam.,Kitajec je z negibnim izrazom pozorno sledil Kim Yijevim besedam.
5086,"Če bi samuraj napadel cesarjeve odposlance in pogajalce, bi bilo to le še hudodelstvo več, ki bi ga lahko naprtili japonskemu kralju.","Če bi kak samuraj napadel cesarjeve odposlance in pogajalce, bi bilo to več kot le zločin, če bi za to krivili japonskega kralja.","Če bi Samuraj napadel cesarjeve odposlance in pogajalce, bi to"
5087,"A kaj bi imeli oni od tega, če pa bi bili mrtvi?","Kaj bi se zgodilo z njimi, če bi bili mrtvi?","Kaj bi imeli oni od tega, če bi bili mrtvi?"
5088,"Marco ni mogel ukazati Mongolom, naj se branijo, saj še niso bili napadeni.","Marco Mongolom ni mogel ukazati, naj se branijo, ker jih še niso napadli.","Marco ni mogel ukazati Mongolom, naj se branijo, saj še niso bili n"
5089,"To bi bila nesprejemljiva poteza agresije, Veliki kan pa mu je vendar naložil to poslanstvo s polnim zaupanjem vanj.","To bi bila nesprejemljiva agresivna poteza, toda Veliki kan mu je to nalogo zaupal s popolnim zaupanjem.","To bi bila nesprejemljiva poteza agresije, Veliki kan pa mu je naložil to poslanstvo "
5090,"Kaj pa, če Kim Yi ni dobro razumel pomena sporočila?","Kaj, če Kim Yi ni pravilno razumela sporočila?","Kaj pa, če Kim Yi ni dobro razumel pomena sporočila?"
5091,"Kaj, če ga ne bo znal prevesti?","Kaj pa, če ne morem prevesti?","Kaj, če ga ne bo znal prevesti?"
5092,"In kaj, če so samuraji preveč bojeviti, da bi mu prisluhnili ...?","Kaj pa, če so samuraji preveč bojeviti, da bi poslušali?","In kaj, če so samuraji preveč bojeviti, da bi mu prisluhnili...?"
5093,V Marcu so se oglašali dvomi in vprašanja.,Marca so se pojavili dvomi in vprašanja.,V Marcu so se pojavili dvomi in vprašanja.
5094,"Marco je ves pretresen, ne da bi dobro vedel, kdo je pravzaprav zmagal, stopil h korejskemu tolmaču.","Marco, šokiran, da bi ugotovil, kdo je dejansko zmagal, se je obrnil na korejskega tolmača.","Marco je ves pretresen, ne da bi vedel, kdo je pravzaprav zmagal, stopil h ko"
5095,Tudi ta je stal kot ukopan spričo srhljivih samurajev.,Tudi on je bil ujet v obraz strašnim samurajem.,"Tudi ta je stal kot ukopan, ko je bil srhljiv samurajev"
5096,"Ai Xue pa se je neutrudno vrtel, se sukal na stopalu in odbijal samurajeve čedalje hitrejše zamahe s sabljo.","Ai Xue se je neutrudno vrtel, zvijal na nogi in odbijal samurajeve hitre udarce z mečem.","Ai Xue se je neutrudno vrtel, se sukal na stopalu in odbij"
5097,"Drugi samuraji so od strani opazovali dogajanje; očitno so menili, da tovariš ne potrebuje njihove pomoči.","Drugi samuraji so jih opazovali s strani; očitno so menili, da tovariš ne potrebuje njihove pomoči.","Drugi samuraji so opazovali dogajanje; očitno so menili, da tovariš ne potrebuje njihove"
5098,"»Kim Yi, povej jim vendar, da nismo prišli s sovražnimi nameni!","""Kim Yi, povej jim, da nismo prišli s sovražnimi nameni!","""Kim Yi, povej jim, da nismo prišli s sovražnimi nameni!"
5099,"Ukreni že kaj, če ne, nas bodo vse poklali!«","Storite nekaj, ali pa nas bodo vse pobili! ""","Ukrepaj, če ne, nas bodo vse poklali. """
5100,"»Gospod Polo, ponudili so se, da nas spremijo do njihovega gospodarja.«","""gospodar Polo, ponudili so se, da nas pospremijo do svojega gospodarja.""","""Gospod Polo, ponudili so nam, da nas spremijo do njihovega gospodarja."""
5101,"Samuraji so jih odpeljali so vasi, ki je ležala kak dan hoda od obrežja.","Samuraji so jih odpeljali v vas, kakšen dan hoda od obale.","Samuraji so jih odpeljali v vasi, ki je ležala nekaj dni od obrežja."
5102,Prebivalci so si jih prepadeno ogledovali.,Prebivalci so jih začudeno opazovali.,Prebivalci so jih prestrašeno opazovali.
5103,"Potem ko so vstopili, so jih odpeljali do neke hiše s papirnatimi stenami.","Ko sta vstopila, so ju odpeljali v hišo s papirnatimi stenami.",Nato so jih odpeljali do neke hiše s papirnatimi stenami.
5104,"Dodelili so jim samuraja, imenovanega Hakuka, da bi jih nadziral.","Za nadzor nad njimi so jim dodelili samuraja, imenovanega Hakuka.","Dodelili so jim samuraja, imenovanega Hakuka, da bi jih n"
5105,"Bil je prav tisti, ki jim je privoščil tako srborito dobrodošlico na otoku.","On je bil tisti, ki jih je na otoku tako prisrčno sprejel.","Bil je prav tisti, ki jim je privoščil tako srborito dobrodošlico na otoku."
5106,"Prisilil jih je, da se sezujejo.","Prisilil jih je, da so se odstranili.","Prisilil jih je, da se sezujejo."
5107,"Oprema prostora je bila izredno skromna: na tleh, opremljenih z zvitimi odejami, je bila pogrnjena navadna rogoznica.","Oprema prostora je bila zelo skromna: na tleh, opremljena z valjanimi odejami, je bil položen navaden mat.","Oprema prostora je bila izredno skromna: na tleh, opremljenih z zvitimi odej"
5108,Vsi naj bi se stiskali v eni sami sobi.,Vsi so se stiskali skupaj v eni sobi.,Vsi naj bi se stiskali v eni sami sobi.
5109,"Marco je že sicer težko prenašal bližino zaudarjajočih Mongolov, v zaprtem prostoru pa je bil njihov smrad samo še hujši.","Čeprav se je Marco zelo trudil prenašati bližino smrdljivih Mongolov, je smrad v njih samo še poslabšal.","Marco je že težko prenašal bližino zaudarjajočih Mongolov, v zaprtem prostoru"
5110,"Ai Xue je dolge ure žgal paličice kadila in meditiral, sede na tleh, s prekrižanimi nogami.","Ai Xue je ure in ure žgal kadilne palice in meditiral, sedel na tleh, prekrižal noge.","Ai Xue je dolge ure žgal paličice kadila in meditiral, sede na tleh"
5111,Navzočnost ječarja je zavirala pogovor.,Ječarjeva navzočnost je ovirala pogovor.,Navzočnost ječarja je ovirala pogovor.
5112,Bili so upravičeni le do enega in še to skromnega obroka na dan.,"Upravičeni so bili do samo enega obroka na dan, celo do skromnega.",Bili so upravičeni le do enega in še to skromnega obroka na dan.
5113,"To je klasična metoda za oslabitev nasprotnika; Marco jo je poznal še iz časov, ko je bil Kaidujev talec.","To je klasična metoda slabitve nasprotnika; Marco je to vedel, odkar je bil Kaidujev talec.","To je klasična metoda za oslabitev nasprotnika; Marco jo je poznal iz časov, ko je bil"
5114,"Prizadeval si je torej ne misliti na lakoto, temveč samo na svoje poslanstvo.","Zato si je prizadeval, da ne bi razmišljal o lakoti, temveč le o svojem poslanstvu.","Toda ne misli si misliti na lakoto, temveč na svoje poslanstvo."
5115,"Hakuka je klečal na pragu, sede na petah, in sledil s pogledom slehernemu njihovemu gibu.","Hakuka je pokleknil na pragu, sedel na svojih petah in s pogledom spremljal vsak njihov korak.","Hakuka je sedel na pragu, sede na petah in sledil vsakemu njihovemu gibu."
5116,"Marco si ni mogel kaj, da se ob tem ne bi spomnil mongolske obredne prepovedi dotikanja praga; pri njih je namreč veljal za svetega.","Marco si ni mogel kaj, da ne bi bil opomnjen na mongolsko obredno prepoved dotikanja praga, kjer je veljal za svetega.","Marco si ni mogel kaj, da bi se ob tem spomnil mongolske prepovedi dotikanja pr"
5117,"Japonec je čemel tako negibno, da je bil podoben kipu.","Japonec je bil tako negiben, da je izgledal kot kip.","Japonec je čemel tako negibno, da je bil podoben kipu."
5118,"Benečan je obžaloval, da se ne more sporazumevati z njim.","Benečan je obžaloval, da se ni mogel pogovarjati z njim.","Benečan je obžaloval, da se ne more sporazumevati z njim."
5119,"Značajska trdnost, ki jo je kazal Japonec, je naredila velik vtis nanj in mu zbudila željo, da bi se iz nje česa naučil.","Moč značaja, ki so ga pokazali Japonci, je nanj naredila vtis in ga iz tega želela učiti.","Značajska trdnost, ki jo je kazal Japonec, je naredila velik vtis nanj in mu"
5120,Zunaj je začelo deževati; kaplje so srdito bobnale po papirnatih stenah.,Zunaj je začelo deževati; vodne kapljice so močno utripale čez papirnate stene.,Zunaj je začelo deževati; kaplje so se raztrgale po papirnatih stenah.
5121,"Marco je, zvit v klobčič, nazadnje potonil v spanec.","Marco, zvit v krogli, je končno zaspal.","Marco je, oblečen v klobčič, nazadnje potonil v spanec."
5122,"V sanjah se je moral sam spopasti s samurajem, le da se mu ni uspelo ubraniti.","V sanjah se je moral sam soočiti s samuraji, vendar se mu ni uspelo boriti.","V sanjah se je moral spopasti s samurajem, vendar se mu ni uspelo ubr"
5123,Benečan se je obrnil h Kim Yiju.,Benečan se je obrnil k Kim Yi.,Benečan se je obrnil k Kim Yiju.
5124,»Prepustite zadevo meni.«,"""Prepustite to meni.""","""prepustite zadevo meni."""
5125,Japonec je glasno vzdihoval.,Japonci so glasno zavzdihnili.,Japonec je glasno vzdihoval.
5126,Po nekaj tednih takšnega zdravljenja se je dečkova koža zacelila.,Po nekaj tednih takšnega zdravljenja se je fantova koža zacelila.,Po nekaj tednih zdravljenja se je koža zacelila.
5127,"Zdaj je komaj čakal trenutka, ko naj bi Xiu Lan prišla k njemu položit obkladke.","Sedaj je komaj čakal, da bo Xiu Lan prišel k njemu in mu dal podloge.","Zdaj je komaj čakal, da bo Xiu Lan prišel do njega, ko naj bi X"
5128,Nekje je izmaknil ogledalo in se radovedno pogledal vanj.,Nekje je vzel ven ogledalo in se čudno pogledal.,Nekje je izmaknil ogledalo in se radovedno pogledal vanj.
5129,Še vedno ni izrekel niti besede.,Še vedno ni rekel niti besede.,Še vedno ni izrekel niti besede.
5130,"Pač pa je Xiu Lan nenehno govorila z njim, kakor da bi deček znal govoriti.","Toda Xiu Lan je nenehno govoril z njim, kot da bi fant lahko govoril.","Xiu Lan je nenehno govorila z njim, kot da bi deček znal govoriti."
5131,"»Mi, cesar po milosti Nebes, ukazujemo kralju Japonske, naj prisluhne naši volji.","""Mi, cesar po milosti nebes, zapovedujemo japonskemu kralju, naj uboga našo voljo.","""Mi, cesar po milosti Nebes, ukazujemo kralju Japonske, naj prisluh"
5132,"Mojim prednikom je Nebo velelo, naj razširijo svoje kraljestvo na Kitajsko.","Nebo je mojim prednikom naročil, naj razširijo svoje kraljestvo na Kitajsko.","Mojim prednikom je Nebo ukazal, naj razširijo svoje kraljestvo na Kitajsko."
5133,"Nepreštevne so tuje, daljne dežele, ki se bojijo naše moči in nas moledujejo za naše dobrohotno varstvo.","Nešteto je tujih, oddaljenih dežel, ki se bojijo naše moči in prosijo za našo dobrohotno zaščito.","Nepreštevne so tuje, daljne dežele, ki se bojijo naše moči in nas moledujejo"
5134,"Naše razmerje bi moralo biti razmerje vladarja do vazala, vendar po zaslugi moje pravičnosti gojimo neskaljen odnos, kakršen povezuje očeta in sina.","Najin odnos bi moral biti enak odnosu med vladarjem in vazalom, toda zahvaljujoč moji pravici ohranjava trden odnos, ki združuje očeta in sina.","Naše razmerje bi moralo biti razmerje vladarja do vazala, vendar po zaslugi moje pravičnosti gojimo"
5135,"Menim, da je japonskemu kralju vse to že znano.","mislim, da japonski kralj že ve vse to.","Menim, da je japonskemu kralju vse to znano."
5136,"In vendar ni Japonska niti enkrat napotila k meni odposlanca, ki bi zaprosil za navezavo prijateljstva z menoj.","Toda Japonska mi ni niti enkrat poslala odposlanca, da bi me prosil za prijateljstvo.","In vendar ni Japonska nikoli poslala k meni odposlanca, ki bi prosil za navezavo prijateljstv"
5137,"Bojim se, japonski kralj, da tvoja dežela ni dovolj seznanjena z voljo moje dežele.","bojim se, japonski kralj, da vaša država ni dovolj seznanjena z voljo moje države.","Bojim se, japonski kralj, da tvoja dežela ni dovolj seznanjena z voljo moje dežele."
5138,"V ta namen ti pošiljam sla, ki naj poskrbi, da to sporočilo pride do tebe.","V ta namen vam pošiljam glasnika, ki bo poskrbel, da to sporočilo pride do vas.","V ta namen ti pošiljam sla, ki naj poskrbi, da to sporočilo pride do tebe."
5139,"Želim si izmenjave daritev, da bi se med najinima deželama spletla vzajemna vez prijateljstva in miru.","želim si izmenjave ponudb, da bi ustvarili vez prijateljstva in miru med našima deželama.","Želim si izmenjave daritev, da bi med najinima deželama obstajala vzajemna vez prijateljstva in"
5140,"Kot pravi moder pregovor, dežele, ki obkrožajo četvere oceane, so ena sama in ista družina.","Kot pravi modri pregovor, so dežele, ki obkrožajo štiri oceane, ena in ista družina.","Kot pravi moder pregovor, dežele, ki obkrožajo četvere oceane, so en"
5141,"Kdor bi zavrnil navezavo stikov z mojim cesarstvom, bi zavrnil članstvo v tej družini in me prisili k uporabi oborožene sile.","Kdor bi odklonil stik z mojim cesarstvom, bi odklonil biti član te družine in me prisilil k uporabi oborožene sile.","Kdor bi zavrnil navezavo stikov z mojim cesarstvom, bi zavrnil članstvo v tej družini in me"
5142,A kdo bi si vendar mogel želeti takšnega izida?,Le kdo bi si želel takšnega izida?,A kdo bi si mogel želeti takšnega izida?
5143,"Zato pa, o japonski kralj, dobro pretehtaj svoj odgovor.","Zato, japonski kralj, skrbno premisli o svojem odgovoru.","Zato, o japonski kralj, dobro pretehtajte svoj odgovor."
5144,"Japonska slovi kot dežela, ki spoštuje obredje, sam pa pričakujem, da bo spoštovala tudi pravila olike.«","Japonska je znana kot država, ki spoštuje rituale, vendar pričakujem tudi, da spoštuje pravila obnašanja. ""","Japonska je znana kot dežela, ki spoštuje obredje, in jaz pričakujem, da bo spoštoval"
5145,»Ne vem.«,"""tega ne vem.""","""ne vem."""
5146,Dao je vzdihnil.,Dao je zavzdihnil.,Dao je vzdihnil.
5147,»A se res ne bova več videla?«,"""Ali se res ne bova več videla?""","""A se res ne bova več videla?"""
5148,Na pragu palače se je dal najaviti.,Dogovoril se je na pragu palače.,Na pragu palače se je dal najaviti.
5149,Brž so ga s hitrim korakom popeljali skozi hodnike.,Hitro so ga odpeljali po hodnikih.,Brž je šel skozi hodnike.
5150,"V njem je plala nova moč: bojevitost, s katero bi lahko prestavljal gore.","V njem je bila nova moč: bojna sila, s katero je lahko premikal gore.","V njem je planila nova moč: bojevitost, s katero bi lahko preletela gore"
5151,Tudi cesar je bil že nestrpen.,Celo cesar je bil nepotrpežljiv.,Tudi cesar je bil že nestrpen.
5152,"Marco je malodane tekel skozi dvorane, kot bi šel lastnemu očetu naproti.","Marco je tekel po hodnikih skoraj tako, kot bi šel na srečanje z očetom.","Marco je malodane tekel skozi dvorane, kot bi šel svojemu očetu naproti."
5153,"Hodniki se mu še nikoli niso zdeli tako dolgi, dvorane še nikoli tako velike, gneča dvorjanov mu še nikoli ni bila tako v napoto, stražarji se mu še nikoli niso zdeli tako počasni pri odpiranju vrat.","Hodniki še nikoli ni zdelo tako dolgo, dvorane tako velike, množice dvorjanov toliko v svoji poti, stražarji nikoli ni zdelo tako počasi, da odprete vrata.","Hodniki se mu še nikoli niso bili tako dolgi, dvorane še nikoli tako velike, gneč"
5154,"Ponavadi so bili pogledi, ki jih je bil Marco deležen od dvorjanov, polni radovednosti, celo prezira.","Pogledi, ki jih je Marco dobil od dvorjanov, so bili običajno polni radovednosti, celo zaničevanja.","Ponavadi so bili pogledi, ki jih je Marco prejel od dvorjanov, polni radovednosti,"
5155,Tokrat pa je bral v njihovih očeh nejevero.,Tokrat je v njihovih očeh videl nevero.,Tokrat je bral v njihovih očeh nejevero.
5156,"»Ja, ja, saj vem, hči mi je poslala kurirja.«","""da, vem, moja hči mi je poslala sla.""","""Ja, ja, vem, hči mi je poslala kurirja."""
5157,"Marco je potegnil iz rokava sporočilo, ki mu je bilo rešilo življenje.","Marco je iz rokava potegnil sporočilo, ki mu je rešilo življenje.","Marco je potegnil iz rokava sporočilo, ki mu je rešilo življenje."
5158,"»Ja, res je,« je odgovoril Marco in pogledal stran.","""Ja, res je,"" je odgovoril Marco in pogledal stran.","""Ja, res je,"" je odgovoril Marco in pogledal stran."
5159,"Plosknil je in ukazal, naj jima postrežejo s čajem.","Ploskal je in naročil, naj jim postrežejo s čajem.","Plosknil je in ukazal, naj jima postrežejo s čajem."
5160,Marco je srknil čaj.,Marco je srkal čaj.,Marco je srknil čaj.
5161,"Ob tem se je tako opekel, da mu je ušel krik.","Bil je tako opečen, da je ubežal kriku.","Ob tem se je tako opekel, da mu je ušel krik."
5162,Marco je vstal.,Marco je vstal.,Marco je vstal.
5163,Nenadoma ni več mogel strpeti pri miru.,Nenadoma ni mogel več stati pri miru.,Nenadoma ni mogel več strpeti pri miru.
5164,»In še vedno nisem našel svojega sina.«,"""in še vedno nisem našel svojega sina.""","""In še vedno nisem našel svojega sina."""
5165,Potem je sunkovito zaloputnila okence.,Nato je zaloputnila z oknom.,Nato je sunkovito zaloputnila okence.
5166,"Marco je ostal dolgo zazrt v velikansko skalo nenavadnih oblik: podobno valovju, ki se širi na odprto morje.","Marco je bil dolgo osredotočen na ogromno skalo čudnih oblik, kot val, ki se širi proti odprtemu morju.","Marco je ostal dolgo zazrt v velikansko skalo nenavadnih oblik: podobna valovju,"
5167,"»Menda imajo tam doli izredne kurtizane, zelo omikane in izobražene.«","""Očitno imajo tam spodaj izredne kurtizane, zelo kultivirane in dobro izobražene.""","""Menda imajo tam doli izredne kurtizane, zelo omikane in izobražene"
5168,»Tako je.«,"""Res je.""","""tako je."""
5169,"»A, pa smo tam, ti zvitorepka!","""Ah, tukaj smo, ti zviti!","""A, pa smo tam, ti zvitorepka!"
5170,"Misliš me izrabiti, kaj?","Hočeš me izkoristiti, a ne?","Misliš, da me izrabite, kaj?"
5171,"V resnici bi morala pravzaprav ti meni plačati, toliko da veš!« je vzkliknil.","Pravzaprav bi mi moral plačati, da boš vedel, ""je vzkliknil.","V resnici bi morala plačati, toliko da veš,"" je vzkliknil."
5172,"»Ali ni dovolj to sijajno darilo, ki si ga dobila od mene?«","""ali ni to čudovito darilo, ki si ga dobila od mene dovolj?""","""Ali ni dovolj to sijajno darilo, ki si ga dobila od mene?"""
5173,Svileni zastor za njima je neopazno vztrepetal.,Svilena zavesa za njimi se je neopaženo tresla.,Svileni zastor za njima je neopazno izbruhnil.
5174,Xiu Lan je stopila k svilenemu zastoru in ga sunkovito odgrnila.,Xiu Lan je šel do svilene zavese in jo potegnil stran.,Xiu Lan je stopil k svilenemu zastoru in ga sunkovito odg
5175,»Ali res ne razumete?,"""Ali res ne razumeš?","""Ali res ne razumete?"""
5176,Vašega sina našla sem ga!«,"Našel sem tvojega sina! ""","V mojem sinu sem našla mojega sina. """
5177,Marco je še vedno stal kot ukopan.,"Marco je še vedno stal tam, pokopan.",Marco je še vedno stal kot ukopan.
5178,"Kakega pol lučaja od njega je stal otrok in srepel vanj z očmi, podobnimi črnima kapljama.",Okoli polovice ročaja je otrok stal poleg njega in strmel vanj z očmi kakor črne kapljice.,"Kakega pol lučaja od njega je stal otrok in ga srepel z očmi, podobnimi črni"
5179,"Bil je zamolkle polti, precej kilav za svoja leta, kuštravih las.","Bil je puste polti, kar velik funt za svoja leta, in imel je goste lase.","Bil je zamolkle polti, precej kilav za svoja leta, kuštravi lasje"
5180,Pa kaj je sploh pričakoval?,Kaj pa je pričakoval?,Kaj je pričakoval?
5181,Da ga bo prepoznal?,Da ga bo lahko identificiral?,Da ga bo prepoznal?
5182,"Skrivaj je upal, da mu bo srce poskočilo v prsih, da se bodo njegove roke same od sebe razprle v objem, da bo začutil v sebi neustavljivo potrebo po tem, da bi ga zavaroval.","Na skrivaj je upal, da mu bo srce skočilo v prsi, da se bodo njegove roke po lastni volji razširile v objem in da bo v sebi čutil neustavljivo željo, da bi ga zaščitil.","Skrivaj je upal, da mu bo srce poskočilo v prsih, da se bodo njegove roke"
5183,"Mislil je, da bo deček že ob prvem pogledu nanj zavpil »očka!«, kakor da ga je vsa ta leta tudi sam čakal.","Mislil je, da bo deček ob prvem pogledu nanj zavpil ""očka "", kot da bi ga sam čakal vsa ta leta.","Mislil je, da bo deček ob prvem pogledu nanj zavpil ""očka "", kakor"
5184,Marco je začutil grenak priokus v ustih.,Marco je imel grenak okus v ustih.,Marco je začutil grenak priokus v ustih.
5185,Od razočaranja ga je zapeklo v drobovju.,"Razočaran je bil, njegovo drobovje je zgorelo.",Od razočaranja ga je zapeklo v drobovju.
5186,Obrnil se je stran.,obrnil se je stran.,Obrnil se je na stran.
5187,Xiu Lan je negibno stala in z nasmehom gledala dečka; v očeh je imela solze.,Xiu Lan je nepremično stala in se smehljala fantu. v očeh je imela solze.,Xiu Lan je negibno stala in z nasmehom gledala dečka; v očeh je imel
5188,"Marca je stalo nadčloveškega napora, da se je spomnil Nur-Zad, kako ga je rotila, naj poskrbi za otroka, kakor da bi bil njegov.","To je stalo nadčloveško prizadevanje v marcu, da se spomnimo Nur-Zad ga prosila, da skrbijo za otroka, kot če bi bila njegova lastna.","Marca je stalo nadčloveškega napora, da se je spomnil Nur-Zad, kako"
5189,Kakor da bi bil njegov!,Kot da bi bil njegov.,Kakor da bi bil njegov!
5190,"Kaj pa, če je navsezadnje res njegov?",Kaj pa če je konec koncev njegov?,"Kaj pa, če je res njegov?"
5191,"Ko ga je Marco natančneje pogledal, se mu je zazdelo, da vidi nekaj podobnosti z materjo moogče usta; ali pa oči.","Ko ga je Marco natančneje pogledal, se mu je zdelo, da je videl nekaj podobnega materinim ustom; ali očem.","Ko ga je Marco podrobneje pogledal, se mu je zdelo, da vidi nekaj podobnosti z materjo"
5192,Otrok je trdo pogoltnil slino.,Otrok je slino močno pogoltnil.,Otrok je trdo pogoltnil slino.
